observation_date,IR3TIB01AUM156N
2002-04-01,4.59
2002-05-01,4.84
2002-06-01,5.07
2002-07-01,4.98
2002-08-01,4.96
2002-09-01,4.92
2002-10-01,4.90
2002-11-01,4.84
2002-12-01,4.83
2003-01-01,4.80
2003-02-01,4.75
2003-03-01,4.76
2003-04-01,4.79
2003-05-01,4.78
2003-06-01,4.67
2003-07-01,4.72
2003-08-01,4.82
2003-09-01,4.91
2003-10-01,4.97
2003-11-01,5.31
2003-12-01,5.47
2004-01-01,5.55
2004-02-01,5.57
2004-03-01,5.51
2004-04-01,5.54
2004-05-01,5.51
2004-06-01,5.49
2004-07-01,5.46
2004-08-01,5.44
2004-09-01,5.42
2004-10-01,5.41
2004-11-01,5.43
2004-12-01,5.41
2005-01-01,5.42
2005-02-01,5.63
2005-03-01,5.81
2005-04-01,5.75
2005-05-01,5.68
2005-06-01,5.66
2005-07-01,5.65
2005-08-01,5.62
2005-09-01,5.62
2005-10-01,5.63
2005-11-01,5.63
2005-12-01,5.63
2006-01-01,5.63
2006-02-01,5.61
2006-03-01,5.61
2006-04-01,5.69
2006-05-01,5.87
2006-06-01,5.96
2006-07-01,6.05
2006-08-01,6.19
2006-09-01,6.21
2006-10-01,6.28
2006-11-01,6.37
2006-12-01,6.39
2007-01-01,6.43
2007-02-01,6.37
2007-03-01,6.43
2007-04-01,6.48
2007-05-01,6.37
2007-06-01,6.42
2007-07-01,6.47
2007-08-01,6.75
2007-09-01,6.94
2007-10-01,6.91
2007-11-01,7.15
2007-12-01,7.29
2008-01-01,7.18
2008-02-01,7.69
2008-03-01,7.90
2008-04-01,7.84
2008-05-01,7.75
2008-06-01,7.81
2008-07-01,7.75
2008-08-01,7.31
2008-09-01,7.27
2008-10-01,6.03
2008-11-01,4.76
2008-12-01,4.39
2009-01-01,3.74
2009-02-01,3.16
2009-03-01,3.16
2009-04-01,3.10
2009-05-01,3.13
2009-06-01,3.25
2009-07-01,3.14
2009-08-01,3.30
2009-09-01,3.37
2009-10-01,3.78
2009-11-01,3.95
2009-12-01,4.13
2010-01-01,4.20
2010-02-01,4.16
2010-03-01,4.33
2010-04-01,4.55
2010-05-01,4.81
2010-06-01,4.89
2010-07-01,4.84
2010-08-01,4.74
2010-09-01,4.82
