observation_date,DEXSZUS
2002-04-01,1.6607
2002-04-02,1.6655
2002-04-03,1.6607
2002-04-04,1.6654
2002-04-05,1.6637
2002-04-08,1.6740
2002-04-09,1.6676
2002-04-10,1.6702
2002-04-11,1.6604
2002-04-12,1.6678
2002-04-15,1.6666
2002-04-16,1.6638
2002-04-17,1.6550
2002-04-18,1.6485
2002-04-19,1.6508
2002-04-22,1.6543
2002-04-23,1.6490
2002-04-24,1.6445
2002-04-25,1.6308
2002-04-26,1.6293
2002-04-29,1.6215
2002-04-30,1.6216
2002-05-01,1.6010
2002-05-02,1.6098
2002-05-03,1.5920
2002-05-06,1.5891
2002-05-07,1.5930
2002-05-08,1.6102
2002-05-09,1.6005
2002-05-10,1.5946
2002-05-13,1.5983
2002-05-14,1.6155
2002-05-15,1.6054
2002-05-16,1.5993
2002-05-17,1.5810
2002-05-20,1.5785
2002-05-21,1.5798
2002-05-22,1.5686
2002-05-23,1.5755
2002-05-24,1.5827
2002-05-27,
2002-05-28,1.5743
2002-05-29,1.5757
2002-05-30,1.5621
2002-05-31,1.5693
2002-06-03,1.5638
2002-06-04,1.5592
2002-06-05,1.5672
2002-06-06,1.5590
2002-06-07,1.5550
2002-06-10,1.5585
2002-06-11,1.5620
2002-06-12,1.5595
2002-06-13,1.5638
2002-06-14,1.5626
2002-06-17,1.5632
2002-06-18,1.5568
2002-06-19,1.5422
2002-06-20,1.5235
2002-06-21,1.5124
2002-06-24,1.5005
2002-06-25,1.5140
2002-06-26,1.4940
2002-06-27,1.4885
2002-06-28,1.4920
2002-07-01,1.4845
2002-07-02,1.4900
2002-07-03,1.4907
2002-07-04,
2002-07-05,1.5062
2002-07-08,1.4893
2002-07-09,1.4820
2002-07-10,1.4888
2002-07-11,1.4793
2002-07-12,1.4832
2002-07-15,1.4582
2002-07-16,1.4548
2002-07-17,1.4540
2002-07-18,1.4540
2002-07-19,1.4387
2002-07-22,1.4408
2002-07-23,1.4645
2002-07-24,1.4561
2002-07-25,1.4498
2002-07-26,1.4682
2002-07-29,1.4893
2002-07-30,1.4749
2002-07-31,1.4833
2002-08-01,1.4703
2002-08-02,1.4708
2002-08-05,1.4770
2002-08-06,1.5130
2002-08-07,1.4970
2002-08-08,1.5146
2002-08-09,1.5030
2002-08-12,1.4965
2002-08-13,1.4952
2002-08-14,1.4813
2002-08-15,1.4907
2002-08-16,1.4915
2002-08-19,1.5015
2002-08-20,1.5027
2002-08-21,1.4999
2002-08-22,1.5188
2002-08-23,1.5128
2002-08-26,1.5125
2002-08-27,1.4969
2002-08-28,1.4968
2002-08-29,1.4941
2002-08-30,1.5007
2002-09-02,
2002-09-03,1.4730
2002-09-04,1.4751
2002-09-05,1.4733
2002-09-06,1.4825
2002-09-09,1.4848
2002-09-10,1.4960
2002-09-11,1.5067
2002-09-12,1.5042
2002-09-13,1.5020
2002-09-16,1.5100
2002-09-17,1.5202
2002-09-18,1.4982
2002-09-19,1.4920
2002-09-20,1.4880
2002-09-23,1.4910
2002-09-24,1.4918
2002-09-25,1.4933
2002-09-26,1.5029
2002-09-27,1.5008
2002-09-30,1.4758
2002-10-01,1.4793
2002-10-02,1.4836
2002-10-03,1.4794
2002-10-04,1.4893
2002-10-07,1.4900
2002-10-08,1.4959
2002-10-09,1.4837
2002-10-10,1.4841
2002-10-11,1.4860
2002-10-14,
2002-10-15,1.4958
2002-10-16,1.4924
2002-10-17,1.5119
2002-10-18,1.5140
2002-10-21,1.5110
2002-10-22,1.5015
2002-10-23,1.5004
2002-10-24,1.5062
2002-10-25,1.5014
2002-10-28,1.4882
2002-10-29,1.4870
2002-10-30,1.4893
2002-10-31,1.4805
2002-11-01,1.4673
2002-11-04,1.4700
2002-11-05,1.4635
2002-11-06,1.4663
2002-11-07,1.4506
2002-11-08,1.4434
2002-11-11,
2002-11-12,1.4465
2002-11-13,1.4577
2002-11-14,1.4615
2002-11-15,1.4542
2002-11-18,1.4555
2002-11-19,1.4527
2002-11-20,1.4649
2002-11-21,1.4714
2002-11-22,1.4768
2002-11-25,1.4839
2002-11-26,1.4878
2002-11-27,1.4895
2002-11-28,
2002-11-29,1.4860
2002-12-02,1.4845
2002-12-03,1.4767
2002-12-04,1.4729
2002-12-05,1.4731
2002-12-06,1.4602
2002-12-09,1.4595
2002-12-10,1.4628
2002-12-11,1.4621
2002-12-12,1.4490
2002-12-13,1.4421
2002-12-16,1.4448
2002-12-17,1.4323
2002-12-18,1.4296
2002-12-19,1.4310
2002-12-20,1.4250
2002-12-23,1.4250
2002-12-24,1.4097
2002-12-25,
2002-12-26,1.4039
2002-12-27,1.3954
2002-12-30,1.3922
2002-12-31,1.3833
2003-01-01,
2003-01-02,1.4015
2003-01-03,1.3975
2003-01-06,1.3928
2003-01-07,1.3983
2003-01-08,1.3963
2003-01-09,1.3943
2003-01-10,1.3860
2003-01-13,1.3868
2003-01-14,1.3840
2003-01-15,1.3829
2003-01-16,1.3828
2003-01-17,1.3678
2003-01-20,
2003-01-21,1.3687
2003-01-22,1.3629
2003-01-23,1.3580
2003-01-24,1.3528
2003-01-27,1.3554
2003-01-28,1.3560
2003-01-29,1.3512
2003-01-30,1.3629
2003-01-31,1.3683
2003-02-03,1.3631
2003-02-04,1.3493
2003-02-05,1.3540
2003-02-06,1.3541
2003-02-07,1.3584
2003-02-10,1.3660
2003-02-11,1.3653
2003-02-12,1.3700
2003-02-13,1.3559
2003-02-14,1.3618
2003-02-17,
2003-02-18,1.3745
2003-02-19,1.3697
2003-02-20,1.3560
2003-02-21,1.3618
2003-02-24,1.3592
2003-02-25,1.3538
2003-02-26,1.3550
2003-02-27,1.3598
2003-02-28,1.3557
2003-03-03,1.3468
2003-03-04,1.3400
2003-03-05,1.3299
2003-03-06,1.3314
2003-03-07,1.3338
2003-03-10,1.3247
2003-03-11,1.3316
2003-03-12,1.3315
2003-03-13,1.3490
2003-03-14,1.3690
2003-03-17,1.3845
2003-03-18,1.3843
2003-03-19,1.3903
2003-03-20,1.3870
2003-03-21,1.4000
2003-03-24,1.3847
2003-03-25,1.3805
2003-03-26,1.3827
2003-03-27,1.3807
2003-03-28,1.3724
