observation_date,EXSZUS
2002-01-01,1.6709
2002-02-01,1.6970
2002-03-01,1.6743
2002-04-01,1.6542
2002-05-01,1.5889
2002-06-01,1.5399
2002-07-01,1.4718
2002-08-01,1.4972
2002-09-01,1.4931
2002-10-01,1.4932
2002-11-01,1.4658
2002-12-01,1.4388
2003-01-01,1.3765
2003-02-01,1.3602
2003-03-01,1.3614
2003-04-01,1.3783
2003-05-01,1.3111
2003-06-01,1.3196
2003-07-01,1.3611
2003-08-01,1.3811
2003-09-01,1.3743
2003-10-01,1.3222
2003-11-01,1.3318
2003-12-01,1.2643
2004-01-01,1.2391
2004-02-01,1.2448
2004-03-01,1.2778
2004-04-01,1.2969
2004-05-01,1.2839
2004-06-01,1.2503
2004-07-01,1.2452
2004-08-01,1.2623
2004-09-01,1.2629
2004-10-01,1.2330
2004-11-01,1.1711
2004-12-01,1.1465
2005-01-01,1.1792
2005-02-01,1.1918
2005-03-01,1.1756
2005-04-01,1.1954
2005-05-01,1.2172
2005-06-01,1.2665
2005-07-01,1.2945
2005-08-01,1.2629
2005-09-01,1.2671
2005-10-01,1.2880
2005-11-01,1.3110
2005-12-01,1.3053
2006-01-01,1.2773
2006-02-01,1.3052
2006-03-01,1.3050
2006-04-01,1.2830
2006-05-01,1.2190
2006-06-01,1.2321
2006-07-01,1.2376
2006-08-01,1.2318
2006-09-01,1.2455
2006-10-01,1.2602
2006-11-01,1.2356
2006-12-01,1.2099
2007-01-01,1.2431
2007-02-01,1.2393
2007-03-01,1.2178
2007-04-01,1.2124
2007-05-01,1.2211
2007-06-01,1.2330
2007-07-01,1.2069
2007-08-01,1.2027
2007-09-01,1.1852
2007-10-01,1.1741
2007-11-01,1.1233
2007-12-01,1.1402
2008-01-01,1.1006
2008-02-01,1.0890
2008-03-01,1.0126
2008-04-01,1.0138
2008-05-01,1.0448
2008-06-01,1.0371
2008-07-01,1.0283
2008-08-01,1.0841
2008-09-01,1.1102
2008-10-01,1.1429
2008-11-01,1.1910
2008-12-01,1.1404
2009-01-01,1.1267
2009-02-01,1.1639
2009-03-01,1.1555
2009-04-01,1.1481
2009-05-01,1.1076
2009-06-01,1.0809
2009-07-01,1.0780
2009-08-01,1.0683
2009-09-01,1.0391
2009-10-01,1.0213
2009-11-01,1.0131
2009-12-01,1.0301
2010-01-01,1.0345
2010-02-01,1.0722
2010-03-01,1.0666
2010-04-01,1.0690
2010-05-01,1.1295
2010-06-01,1.1255
2010-07-01,1.0530
2010-08-01,1.0388
2010-09-01,1.0002
2010-10-01,0.9686
2010-11-01,0.9847
2010-12-01,0.9689
2011-01-01,0.9565
2011-02-01,0.9500
2011-03-01,0.9185
2011-04-01,0.8972
2011-05-01,0.8740
2011-06-01,0.8401
2011-07-01,0.8214
2011-08-01,0.7800
2011-09-01,0.8767
2011-10-01,0.8958
2011-11-01,0.9079
2011-12-01,0.9334
2012-01-01,0.9376
2012-02-01,0.9118
2012-03-01,0.9131
2012-04-01,0.9133
2012-05-01,0.9383
2012-06-01,0.9576
2012-07-01,0.9783
2012-08-01,0.9681
2012-09-01,0.9386
2012-10-01,0.9323
2012-11-01,0.9388
2012-12-01,0.9213
2013-01-01,0.9234
2013-02-01,0.9212
2013-03-01,0.9466
2013-04-01,0.9366
2013-05-01,0.9557
2013-06-01,0.9331
2013-07-01,0.9449
2013-08-01,0.9261
