observation_date,EXUSAL
2002-01-01,0.5170
2002-02-01,0.5128
2002-03-01,0.5256
2002-04-01,0.5352
2002-05-01,0.5498
2002-06-01,0.5682
2002-07-01,0.5538
2002-08-01,0.5413
2002-09-01,0.5465
2002-10-01,0.5502
2002-11-01,0.5613
2002-12-01,0.5624
2003-01-01,0.5829
2003-02-01,0.5956
2003-03-01,0.6015
2003-04-01,0.6100
2003-05-01,0.6468
2003-06-01,0.6652
2003-07-01,0.6607
2003-08-01,0.6518
2003-09-01,0.6635
2003-10-01,0.6948
2003-11-01,0.7158
2003-12-01,0.7391
2004-01-01,0.7717
2004-02-01,0.7770
2004-03-01,0.7496
2004-04-01,0.7443
2004-05-01,0.7039
2004-06-01,0.6937
2004-07-01,0.7161
2004-08-01,0.7111
2004-09-01,0.7028
2004-10-01,0.7337
2004-11-01,0.7704
2004-12-01,0.7675
2005-01-01,0.7668
2005-02-01,0.7812
2005-03-01,0.7848
2005-04-01,0.7738
2005-05-01,0.7663
2005-06-01,0.7667
2005-07-01,0.7524
2005-08-01,0.7614
2005-09-01,0.7651
2005-10-01,0.7535
2005-11-01,0.7353
2005-12-01,0.7423
2006-01-01,0.7505
2006-02-01,0.7418
2006-03-01,0.7266
2006-04-01,0.7369
2006-05-01,0.7639
2006-06-01,0.7399
2006-07-01,0.7528
2006-08-01,0.7631
2006-09-01,0.7549
2006-10-01,0.7544
2006-11-01,0.7728
2006-12-01,0.7858
2007-01-01,0.7826
2007-02-01,0.7830
2007-03-01,0.7932
2007-04-01,0.8273
2007-05-01,0.8254
2007-06-01,0.8423
2007-07-01,0.8677
2007-08-01,0.8291
2007-09-01,0.8461
2007-10-01,0.8996
2007-11-01,0.8961
2007-12-01,0.8719
2008-01-01,0.8823
2008-02-01,0.9133
2008-03-01,0.9221
2008-04-01,0.9309
2008-05-01,0.9492
2008-06-01,0.9511
2008-07-01,0.9620
2008-08-01,0.8815
2008-09-01,0.8168
2008-10-01,0.6870
2008-11-01,0.6591
2008-12-01,0.6719
2009-01-01,0.6754
2009-02-01,0.6504
2009-03-01,0.6666
2009-04-01,0.7158
2009-05-01,0.7648
2009-06-01,0.8025
2009-07-01,0.8049
2009-08-01,0.8353
2009-09-01,0.8622
2009-10-01,0.9067
2009-11-01,0.9197
2009-12-01,0.9021
2010-01-01,0.9127
2010-02-01,0.8857
2010-03-01,0.9123
2010-04-01,0.9262
2010-05-01,0.8713
2010-06-01,0.8539
2010-07-01,0.8786
2010-08-01,0.9004
2010-09-01,0.9398
2010-10-01,0.9818
2010-11-01,0.9889
2010-12-01,0.9929
2011-01-01,0.9962
2011-02-01,1.0084
2011-03-01,1.0113
2011-04-01,1.0588
2011-05-01,1.0675
2011-06-01,1.0617
2011-07-01,1.0781
2011-08-01,1.0502
2011-09-01,1.0220
2011-10-01,1.0168
2011-11-01,1.0112
2011-12-01,1.0122
2012-01-01,1.0415
2012-02-01,1.0732
2012-03-01,1.0526
2012-04-01,1.0350
2012-05-01,0.9980
2012-06-01,0.9986
2012-07-01,1.0300
2012-08-01,1.0475
2012-09-01,1.0406
2012-10-01,1.0298
2012-11-01,1.0405
2012-12-01,1.0465
2013-01-01,1.0500
2013-02-01,1.0310
2013-03-01,1.0345
2013-04-01,1.0380
2013-05-01,0.9919
2013-06-01,0.9440
2013-07-01,0.9155
2013-08-01,0.9037
2013-09-01,0.9303
2013-10-01,0.9519
2013-11-01,0.9324
2013-12-01,0.8980
2014-01-01,0.8858
2014-02-01,0.8974
2014-03-01,0.9089
2014-04-01,0.9315
2014-05-01,0.9305
2014-06-01,0.9365
2014-07-01,0.9389
2014-08-01,0.9309
2014-09-01,0.9042
2014-10-01,0.8781
2014-11-01,0.8644
2014-12-01,0.8257
2015-01-01,0.8064
2015-02-01,0.7797
2015-03-01,0.7724
2015-04-01,0.7740
2015-05-01,0.7891
2015-06-01,0.7715
2015-07-01,0.7407
2015-08-01,0.7295
2015-09-01,0.7059
2015-10-01,0.7200
2015-11-01,0.7146
2015-12-01,0.7247
2016-01-01,0.7011
2016-02-01,0.7134
2016-03-01,0.7504
2016-04-01,0.7664
2016-05-01,0.7318
2016-06-01,0.7401
2016-07-01,0.7529
2016-08-01,0.7629
2016-09-01,0.7591
2016-10-01,0.7615
2016-11-01,0.7532
2016-12-01,0.7346
2017-01-01,0.7465
2017-02-01,0.7664
2017-03-01,0.7622
2017-04-01,0.7534
2017-05-01,0.7437
2017-06-01,0.7562
2017-07-01,0.7807
2017-08-01,0.7915
2017-09-01,0.7974
2017-10-01,0.7788
2017-11-01,0.7620
2017-12-01,0.7648
2018-01-01,0.7956
2018-02-01,0.7867
2018-03-01,0.7759
2018-04-01,0.7684
2018-05-01,0.7525
2018-06-01,0.7498
2018-07-01,0.7403
2018-08-01,0.7325
2018-09-01,0.7206
2018-10-01,0.7111
2018-11-01,0.7247
2018-12-01,0.7169
2019-01-01,0.7151
2019-02-01,0.7136
2019-03-01,0.7082
2019-04-01,0.7111
2019-05-01,0.6945
2019-06-01,0.6946
2019-07-01,0.6978
2019-08-01,0.6775
2019-09-01,0.6815
2019-10-01,0.6798
2019-11-01,0.6827
2019-12-01,0.6887
2020-01-01,0.6851
2020-02-01,0.6664
2020-03-01,0.6218
2020-04-01,0.6312
2020-05-01,0.6517
2020-06-01,0.6899
2020-07-01,0.7040
2020-08-01,0.7203
2020-09-01,0.7224
2020-10-01,0.7121
2020-11-01,0.7270
2020-12-01,0.7532
2021-01-01,0.7726
2021-02-01,0.7753
2021-03-01,0.7710
2021-04-01,0.7701
2021-05-01,0.7763
2021-06-01,0.7643
2021-07-01,0.7417
2021-08-01,0.7304
2021-09-01,0.7312
2021-10-01,0.7412
2021-11-01,0.7307
2021-12-01,0.7155
2022-01-01,0.7180
2022-02-01,0.7169
2022-03-01,0.7374
2022-04-01,0.7364
2022-05-01,0.7041
2022-06-01,0.7025
2022-07-01,0.6856
2022-08-01,0.6961
2022-09-01,0.6671
2022-10-01,0.6370
2022-11-01,0.6596
2022-12-01,0.6748
2023-01-01,0.6955
2023-02-01,0.6893
2023-03-01,0.6676
2023-04-01,0.6688
2023-05-01,0.6643
2023-06-01,0.6713
2023-07-01,0.6742
2023-08-01,0.6486
2023-09-01,0.6425
2023-10-01,0.6347
2023-11-01,0.6508
2023-12-01,0.6693
2024-01-01,0.6636
2024-02-01,0.6522
2024-03-01,0.6558
2024-04-01,0.6507
2024-05-01,0.6626
2024-06-01,0.6642
2024-07-01,0.6673
2024-08-01,0.6658
