observation_date,IR3TIB01USM156N
2002-04-01,1.87
2002-05-01,1.82
2002-06-01,1.81
2002-07-01,1.79
2002-08-01,1.73
2002-09-01,1.76
2002-10-01,1.73
2002-11-01,1.39
2002-12-01,1.34
2003-01-01,1.29
2003-02-01,1.27
2003-03-01,1.23
2003-04-01,1.24
2003-05-01,1.22
2003-06-01,1.04
2003-07-01,1.05
2003-08-01,1.08
2003-09-01,1.08
2003-10-01,1.10
2003-11-01,1.11
2003-12-01,1.10
2004-01-01,1.06
2004-02-01,1.05
2004-03-01,1.05
2004-04-01,1.08
2004-05-01,1.20
2004-06-01,1.46
2004-07-01,1.57
2004-08-01,1.68
2004-09-01,1.86
2004-10-01,2.04
2004-11-01,2.26
2004-12-01,2.45
2005-01-01,2.61
2005-02-01,2.77
2005-03-01,2.97
2005-04-01,3.09
2005-05-01,3.22
2005-06-01,3.38
2005-07-01,3.57
2005-08-01,3.77
2005-09-01,3.87
2005-10-01,4.13
2005-11-01,4.31
2005-12-01,4.45
2006-01-01,4.56
2006-02-01,4.72
2006-03-01,4.88
2006-04-01,5.03
2006-05-01,5.15
2006-06-01,5.35
2006-07-01,5.46
2006-08-01,5.38
2006-09-01,5.34
2006-10-01,5.33
2006-11-01,5.32
2006-12-01,5.32
2007-01-01,5.32
2007-02-01,5.31
2007-03-01,5.30
2007-04-01,5.31
2007-05-01,5.31
2007-06-01,5.33
2007-07-01,5.32
2007-08-01,5.49
2007-09-01,5.46
2007-10-01,5.08
2007-11-01,4.97
2007-12-01,5.02
2008-01-01,3.84
2008-02-01,3.06
2008-03-01,2.79
2008-04-01,2.85
2008-05-01,2.66
2008-06-01,2.76
2008-07-01,2.79
2008-08-01,2.79
2008-09-01,3.59
2008-10-01,4.32
2008-11-01,2.36
2008-12-01,1.77
2009-01-01,1.02
2009-02-01,1.16
2009-03-01,1.07
2009-04-01,0.89
2009-05-01,0.57
2009-06-01,0.39
2009-07-01,0.35
2009-08-01,0.30
2009-09-01,0.25
2009-10-01,0.24
2009-11-01,0.21
2009-12-01,0.22
2010-01-01,0.20
2010-02-01,0.19
2010-03-01,0.23
2010-04-01,0.30
2010-05-01,0.45
2010-06-01,0.52
2010-07-01,0.41
2010-08-01,0.32
2010-09-01,0.28
2010-10-01,0.27
2010-11-01,0.27
2010-12-01,0.30
2011-01-01,0.29
2011-02-01,0.28
2011-03-01,0.28
2011-04-01,0.23
2011-05-01,0.21
2011-06-01,0.22
2011-07-01,0.24
2011-08-01,0.29
2011-09-01,0.33
2011-10-01,0.37
2011-11-01,0.41
2011-12-01,0.49
2012-01-01,0.40
2012-02-01,0.30
2012-03-01,0.29
2012-04-01,0.29
2012-05-01,0.29
2012-06-01,0.32
2012-07-01,0.30
2012-08-01,0.26
2012-09-01,0.24
2012-10-01,0.23
2012-11-01,0.23
2012-12-01,0.24
2013-01-01,0.23
2013-02-01,0.22
2013-03-01,0.21
2013-04-01,0.20
2013-05-01,0.20
2013-06-01,0.19
2013-07-01,0.14
2013-08-01,0.12
2013-09-01,0.11
2013-10-01,0.12
2013-11-01,0.12
2013-12-01,0.14
2014-01-01,0.12
2014-02-01,0.13
2014-03-01,0.12
2014-04-01,0.12
2014-05-01,0.11
2014-06-01,0.11
2014-07-01,0.13
2014-08-01,0.13
2014-09-01,0.12
2014-10-01,0.12
2014-11-01,0.13
2014-12-01,0.15
2015-01-01,0.16
2015-02-01,0.15
2015-03-01,0.14
2015-04-01,0.13
2015-05-01,0.15
2015-06-01,0.18
2015-07-01,0.19
2015-08-01,0.26
2015-09-01,0.27
2015-10-01,0.25
2015-11-01,0.30
2015-12-01,0.54
2016-01-01,0.57
2016-02-01,0.54
2016-03-01,0.55
2016-04-01,0.55
2016-05-01,0.57
2016-06-01,0.55
2016-07-01,0.62
2016-08-01,0.73
2016-09-01,0.75
2016-10-01,0.72
2016-11-01,0.71
2016-12-01,0.87
2017-01-01,0.90
2017-02-01,0.87
2017-03-01,0.98
2017-04-01,1.03
2017-05-01,1.05
2017-06-01,1.16
2017-07-01,1.22
2017-08-01,1.25
2017-09-01,1.25
2017-10-01,1.26
2017-11-01,1.32
2017-12-01,1.54
2018-01-01,1.63
2018-02-01,1.78
2018-03-01,2.08
2018-04-01,2.20
2018-05-01,2.16
2018-06-01,2.19
2018-07-01,2.17
2018-08-01,2.19
2018-09-01,2.24
2018-10-01,2.37
2018-11-01,2.56
2018-12-01,2.69
2019-01-01,2.59
2019-02-01,2.49
2019-03-01,2.48
2019-04-01,2.47
2019-05-01,2.44
2019-06-01,2.30
2019-07-01,2.22
2019-08-01,2.06
2019-09-01,2.03
2019-10-01,1.88
2019-11-01,1.77
2019-12-01,1.76
2020-01-01,1.65
2020-02-01,1.59
2020-03-01,1.35
2020-04-01,
2020-05-01,0.17
2020-06-01,0.20
2020-07-01,0.18
2020-08-01,0.15
2020-09-01,0.13
2020-10-01,0.12
2020-11-01,0.16
2020-12-01,0.17
2021-01-01,0.14
2021-02-01,0.11
2021-03-01,0.10
2021-04-01,0.11
2021-05-01,0.10
2021-06-01,0.09
2021-07-01,0.10
2021-08-01,0.10
2021-09-01,0.10
2021-10-01,0.11
2021-11-01,0.14
2021-12-01,0.17
2022-01-01,0.22
2022-02-01,0.38
2022-03-01,0.73
2022-04-01,0.91
2022-05-01,1.33
2022-06-01,1.87
2022-07-01,2.50
2022-08-01,2.76
2022-09-01,3.21
2022-10-01,3.85
2022-11-01,4.46
2022-12-01,4.51
2023-01-01,4.61
2023-02-01,4.74
2023-03-01,4.91
2023-04-01,5.03
2023-05-01,5.15
2023-06-01,5.22
2023-07-01,5.35
2023-08-01,5.44
2023-09-01,5.49
2023-10-01,5.46
2023-11-01,5.41
2023-12-01,5.32
2024-01-01,5.26
2024-02-01,5.22
2024-03-01,5.29
2024-04-01,5.33
2024-05-01,5.33
2024-06-01,5.28
2024-07-01,5.31
2024-08-01,5.12
2024-09-01,4.86
2024-10-01,4.62
2024-11-01,4.53
2024-12-01,4.46
